,Term,Age1,MUDI,Avg Transactions,Avg Bal,Avg Turnover,Time with Bank Years,Total Salary,Multiple Customers,Single Purpose,Outcome
9,60,5606,5,35,202,5400,13,43,0,0,G
10,60,6504,4,30,576,2932,11,22,0,1,G
11,60,4909,0,54,1409,7122,8,78,1,1,G
14,60,5608,6,1,4642,100,10,45,0,0,B
15,60,3601,0,33,1233,3597,3,57,0,1,G
19,36,3702,3,30,135,2878,9,36,0,0,B
20,36,5309,0,11,199,825,10,48,0,1,G
22,60,3804,0,49,1381,4357,9,45,0,1,G
23,120,3608,5,33,222,2860,9,12,0,0,G
24,12,3501,0,25,1505,3262,2,36,0,1,G
25,60,3200,1,2,2483,334,6,21,0,0,B
26,60,3600,1,33,1493,7110,10,49,0,1,G
29,18,3405,0,53,682,5410,10,66,0,1,G
31,72,2302,0,39,1196,2311,3,26,0,1,G
34,36,5200,1,10,2633,2784,9,20,0,1,G
35,36,5610,6,60,457,3548,10,31,0,0,G
36,36,5600,6,36,539,2115,9,31,0,1,G
37,18,2409,3,30,134,2508,2,35,0,1,G
45,24,4905,0,23,277,2274,2,34,0,1,G
49,24,2603,2,26,120,2249,14,31,0,1,G
50,24,4702,0,9,3723,1627,10,65,1,1,G
51,60,3100,0,39,38,2575,4,41,0,1,G
53,24,5510,2,16,1600,3841,16,35,0,0,G
55,36,4809,0,0,0,0,20,63,0,1,G
60,48,5201,3,78,1369,4990,8,79,1,1,G
65,36,1910,1,37,478,2402,3,7,0,0,B
67,36,4503,0,24,934,2827,18,35,0,0,G
72,60,5809,1,63,3745,6375,10,46,0,1,G
73,42,2800,0,26,10774,2815,1,57,0,1,G
74,60,3400,0,15,384,2887,10,50,0,0,B
75,120,5601,0,8,2389,2810,15,12,0,1,G
77,48,5002,0,27,2729,3956,10,73,0,1,G
79,120,3307,0,40,72,2912,18,9,0,0,B
85,48,3911,0,39,723,2714,10,46,0,1,G
86,60,3903,0,21,60,2370,11,29,1,1,G
87,60,4700,0,0,0,0,5,10,0,0,G
88,12,3508,0,29,292,2120,10,30,0,1,G
89,18,4701,0,3,1402,736,10,60,0,1,G
90,9,4408,0,19,4824,7169,10,114,0,1,G
91,6,2310,2,42,238,3463,3,37,0,1,G
93,24,3306,0,28,939,2725,8,39,0,0,G
94,60,4101,1,29,377,3794,10,30,0,0,G
95,60,3908,0,33,389,4050,18,52,0,0,G
96,60,3806,3,23,677,1876,4,51,1,0,G
99,24,4809,0,15,614,968,17,24,0,1,G
100,84,3901,5,24,1324,1960,6,22,1,0,G
101,120,3811,6,57,3,4718,10,36,1,0,G
102,120,4104,3,11,244,1600,14,22,1,0,G
103,84,4204,0,27,510,1843,3,14,0,0,G
104,60,3810,0,72,2464,5983,10,61,0,1,G
105,48,3105,4,9,39,1187,13,45,0,0,B
106,12,5805,0,2,2640,4543,7,45,0,1,G
107,12,3205,0,28,2133,2440,16,25,0,1,G
108,36,4608,1,45,1543,2881,10,30,0,0,G
112,36,2903,0,34,905,2746,5,45,0,1,G
115,24,3111,5,4,4157,1056,3,70,1,0,G
116,48,3202,0,46,829,4159,11,33,0,1,G
117,60,2908,0,38,2098,4114,9,62,0,1,G
119,36,6410,0,2,72,79,10,18,0,1,G
121,36,3006,0,23,1048,3623,12,38,0,1,G
122,18,5411,0,44,1454,3595,10,40,0,1,G
124,48,6601,0,33,5807,6855,10,30,0,1,G
125,18,2903,6,46,1414,5560,3,30,0,0,G
126,12,6402,0,39,714,3291,9,40,0,1,G
127,60,2205,0,22,934,1148,9,39,1,1,G
128,48,2704,0,16,684,2397,7,26,0,1,G
131,48,3204,0,47,1726,10188,12,51,0,0,G
133,12,6407,0,10,15957,8030,12,10,0,1,G
134,30,2508,0,17,231,2188,10,31,0,1,G
138,12,2202,0,46,198,1920,4,21,0,0,G
139,48,3008,0,17,198,3483,13,41,0,1,G
141,48,3704,0,50,1673,10607,4,71,0,1,G
146,36,6007,1,23,1712,3096,10,27,0,1,G
147,30,6407,3,27,50,3038,15,29,0,0,G
148,60,3608,1,49,1452,10456,19,49,0,1,G
150,24,6110,2,44,631,3646,2,52,0,0,G
151,24,4306,6,43,151,2576,13,32,0,1,G
153,48,2704,4,38,531,3716,11,54,0,1,G
155,48,6307,0,11,2241,1105,10,7,0,1,G
160,36,4008,0,29,84,3336,9,32,1,1,G
163,36,4409,0,36,1191,6991,10,107,1,1,G
164,60,5508,0,32,1724,5430,14,63,0,0,G
167,60,6200,0,0,0,0,7,40,0,1,G
172,120,4011,5,41,1254,5544,11,78,1,1,G
173,60,4207,3,49,619,5114,16,61,0,1,G
176,60,4503,3,44,3276,4146,10,50,0,0,G
177,36,6201,0,9,85,3382,10,44,0,1,G
178,60,6107,0,6,1331,302,14,11,0,1,G
179,120,4111,0,25,1449,3265,10,55,0,1,G
181,36,4707,1,26,1008,3099,16,36,1,1,G
184,12,2702,0,39,599,2599,7,34,0,1,G
185,60,4604,2,26,378,2442,8,24,0,1,G
186,18,2110,6,22,70,1703,3,4,0,0,G
188,24,2508,2,26,194,2284,3,27,0,1,G
191,60,5602,0,0,0,0,7,53,0,1,G
