,Term,Age1,MUDI,Avg Transactions,Avg Bal,Avg Turnover,Time with Bank Years,Total Salary,Multiple Customers,Single Purpose,Outcome_G
0,60,5608,6,1,4642,100,10,45,0,0,0
1,36,3702,3,30,135,2878,9,36,0,0,0
2,60,3200,1,2,2483,334,6,21,0,0,0
3,36,1910,1,37,478,2402,3,7,0,0,0
4,60,3400,0,15,384,2887,10,50,0,0,0
5,120,3307,0,40,72,2912,18,9,0,0,0
6,48,3105,4,9,39,1187,13,45,0,0,0
7,36,4409,0,48,665,5326,10,32,0,1,0
8,84,3010,3,19,396,1026,9,15,0,0,0
9,36,2505,6,4,442,60,1,23,1,0,0
10,60,3107,1,32,3001,3510,12,30,0,0,0
11,36,4802,1,20,440,2407,3,31,0,1,0
12,120,5908,3,18,6668,1111,18,10,0,0,0
13,60,3410,2,44,1181,3257,11,50,0,0,0
14,60,4907,3,23,3009,11060,10,168,0,0,0
15,48,2500,0,22,98,926,9,9,0,0,0
16,60,5905,4,1,19660,500,11,0,1,0,0
17,12,3004,6,46,822,2875,2,45,0,0,0
18,60,3601,6,22,201,1875,10,0,0,0,0
19,36,4809,0,21,279,2005,14,20,0,0,0
20,30,2705,2,22,1738,1090,17,10,0,0,0
21,60,3805,4,10,587,766,3,11,0,0,0
22,60,3705,6,46,1776,3437,8,65,1,0,0
23,60,4409,6,21,1,1445,5,36,0,0,0
24,36,4111,6,31,8516,6882,14,37,0,0,0
25,24,6008,5,20,3457,3458,10,55,0,0,0
26,72,4201,4,4,3533,1551,10,80,0,1,0
27,72,3802,0,5,3493,1775,17,29,0,0,0
28,48,2206,0,22,809,2263,10,43,0,1,0
29,60,5010,6,36,1677,1930,10,26,0,0,0
30,120,5909,2,18,4701,1566,5,18,1,0,0
31,24,4409,6,3,1046,15,9,10,0,0,0
32,24,2500,0,2,2000,2000,17,23,0,1,0
33,60,5302,1,9,7323,1166,7,45,1,0,0
34,24,2502,2,13,95,348,7,10,0,0,0
35,60,2008,4,4,82,391,4,28,0,0,0
36,30,3000,5,26,215,3881,9,0,0,0,0
37,108,4408,0,12,2284,1324,2,31,1,0,0
38,48,4405,2,15,11102,5536,6,42,1,0,0
39,48,3906,6,117,5015,20097,11,40,0,0,0
40,24,5402,6,27,1002,1076,10,12,0,0,0
41,36,2705,0,38,516,2244,20,49,0,1,0
42,60,6203,0,25,596,1843,10,22,0,1,0
43,60,5604,2,18,589,1079,9,0,0,0,0
44,36,3209,0,45,358,3322,12,36,0,1,0
45,12,2102,4,0,1223,0,4,19,0,0,0
46,60,4606,0,0,0,0,10,23,0,1,0
47,60,5407,1,143,1032,5246,5,23,0,0,0
48,120,2400,6,14,1720,1285,7,10,0,0,0
49,120,2904,0,53,92,4135,10,21,0,0,0
50,48,4705,2,24,1422,1348,4,52,1,0,0
51,9,2404,2,26,143,2262,5,30,0,1,0
52,60,6101,0,2,198,221,9,50,0,1,0
53,36,4007,5,15,1704,2825,11,28,0,0,0
54,120,3403,5,41,225,1870,5,36,1,0,0
55,60,5411,0,12,2867,1376,6,38,0,1,0
56,72,6006,1,51,391,5366,10,40,0,0,0
57,48,4000,4,76,599,5844,14,35,0,0,0
58,24,5302,5,14,11648,1424,5,26,1,0,0
59,60,4607,5,3,15255,521,10,33,0,0,0
60,60,2609,0,26,3828,3027,6,50,0,1,0
61,60,3003,5,15,669,3243,11,32,0,1,0
62,60,2508,0,29,20461,18983,0,37,1,1,0
63,60,5101,2,22,760,1388,4,10,0,0,0
64,48,6104,6,9,2101,1287,11,14,0,0,0
65,60,4702,6,2,2074,21,6,22,1,0,0
66,60,3408,2,31,4910,1865,8,14,0,0,0
67,60,5107,0,11,303,4334,2,34,0,0,0
68,84,4405,0,17,9542,1400,12,10,0,0,0
69,36,3710,2,13,754,1603,10,20,1,0,0
70,60,3800,1,23,154,1733,4,24,0,0,0
71,72,3305,6,3,516,13,4,10,0,0,0
72,48,4104,3,54,679,3275,2,30,0,1,0
73,18,5302,6,33,91,1791,17,23,0,1,0
74,36,2007,0,30,92,2445,4,24,0,1,0
75,60,5007,4,50,574,2547,2,0,0,0,0
76,60,5907,1,12,4204,3065,17,12,0,0,0
77,36,2605,4,14,227,2464,8,33,1,0,0
78,60,2401,6,17,71,811,8,12,0,0,0
79,120,5007,0,4,1283,2601,10,79,0,0,0
80,120,4602,0,5,2050,2433,5,0,0,0,0
81,36,4108,0,16,503,2366,10,30,0,1,0
82,24,5302,6,13,1276,300,10,0,0,0,0
83,60,5302,1,14,14374,2692,10,0,0,0,0
84,36,5302,2,169,13790,42849,3,41,0,0,0
85,36,2301,3,43,216,2802,13,32,0,1,0
86,24,2608,6,2,572,83,10,20,0,0,0
87,12,2306,5,34,462,2057,3,25,0,0,0
88,60,4707,6,71,2594,6687,18,87,1,0,0
89,60,3807,3,81,519,4818,1,33,0,1,0
90,48,2302,3,49,176,3489,2,38,0,1,0
91,84,4502,3,24,286,1191,13,0,0,0,0
92,72,3009,0,9,649,1133,11,10,0,0,0
93,120,5304,6,17,9836,1432,10,35,1,0,0
94,60,2700,3,49,216,1716,0,18,0,0,0
95,60,3111,6,29,1869,2698,14,41,1,0,0
96,36,2307,2,28,602,2665,4,44,0,1,0
97,24,4501,6,11,548,445,20,11,0,0,0
98,36,4606,2,11,1821,2369,1,29,0,1,0
99,60,5401,1,51,1696,3087,9,10,0,0,0
100,120,5711,4,66,262,3074,5,26,1,0,0
101,60,2607,6,29,59,1316,3,10,0,0,0
102,24,5407,1,80,6346,18965,4,38,0,0,0
103,60,3704,1,16,657,4151,15,35,0,0,0
104,60,4202,0,0,0,0,0,64,0,1,0
105,36,3705,2,14,6735,6585,3,20,1,0,0
106,36,3803,5,52,6278,26880,9,54,1,1,0
107,24,4003,0,22,72,1236,11,10,0,0,0
108,24,4805,0,40,8331,3422,13,25,0,1,0
109,60,2700,3,2,1266,108,10,32,0,0,0
110,36,6210,0,49,768,21186,10,165,0,1,0
111,42,4205,3,21,299,4021,10,49,1,0,0
112,60,2604,4,36,2023,4319,9,73,1,0,0
113,84,3600,5,34,2896,1097,5,38,1,0,0
114,24,5105,0,11,231,1116,7,24,0,0,0
115,24,5006,0,10,887,7266,7,101,0,0,0
116,60,4108,5,62,952,5391,13,51,1,1,0
117,36,4607,0,17,1533,4109,16,85,0,1,0
118,36,4009,0,23,128,1931,3,40,1,0,0
119,60,2703,6,2,522,41,2,71,1,0,0
